OBJECT GROUP	OBJECT	Minimum Version	CSV Details	Ojbects JSON	Export CSV	Export CSV Action	Export JSON Action	Delete	Import	Set-Update
Network Objects	hosts	1.1	true	true	true	true	true	true	true	true
Network Objects	networks	1.1	true	true	true	true	true	true	true	true
Network Objects	wildcards	1.2	true	true	true	true	true	true	true	true
Network Objects	groups	1.1	true	true	true	true	true	true	true	true
Network Objects	groups-with-exclusion	1.1	true	true	true	true	true	true	true	true
Network Objects	address-ranges	1.1	true	true	true	true	true	true	true	true
Network Objects	multicast-address-ranges	1.1	true	true	true	true	true	true	true	true
Network Objects	dns-domains	1.1	true	true	true	true	true	true	true	true
Network Objects	security-zones	1.1	true	true	true	true	true	true	true	true
Network Objects	dynamic-objects	1.1	true	true	true	true	true	true	true	true
Network Objects	tags	1.1	true	true	true	true	true	true	true	true
Network Objects	simple-gateways	1.1	false	true	true	true	true	true	true	true
Network Objects	simple-clusters	1.6	false	true	true	true	true	true	true	true
Network Objects	checkpoint-hosts	1.6.1	false	true	true	true	true	true	true	true
Network Objects	times	1.1	true	true	true	true	true	true	true	true
Network Objects	time-groups	1.1	true	true	true	true	true	true	true	true
Network Objects	access-roles	1.1	false	true	true	true	true	true	true	true
Network Objects	opsec-applications	1.1	true	true	true	true	true	true	true	true
Network Objects	trusted-clients	1.1	false	true	true	true	true	true	true	true
Network Objects	lsv-profiles	1.6	false	true	true	true	true	true	true	true
Network Objects	gsn-handover-groups	1.6.1	false	true	true	true	true	true	true	true
Network Objects	access-point-names	1.6.1	false	true	true	true	true	true	true	true
Service & Applications	services-tcp	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-udp	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-icmp	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-icmp6	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-sctp	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-other	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-dce-rpc	1.1	false	true	true	true	true	true	true	true
Service & Applications	services-rpc	1.1	false	true	true	true	true	true	true	true
Service & Applications	service-citrix-tcp	1.6.1	false	true	true	true	true	true	true	true
Service & Applications	services-compound-tcp	1.6.1	false	true	true	true	true	true	true	true
Service & Applications	service-groups	1.1	false	true	true	true	true	true	true	true
Service & Applications	application-sites	1.1	true	true	true	true	true	true	true	true
Service & Applications	application-site-categories	1.1	true	true	true	true	true	true	true	true
Service & Applications	application-site-groups	1.1	true	true	true	true	true	true	true	true
Users	users	1.6.1	true	true	true	true	true	true	true	true
Users	user-groups	1.6.1	true	true	true	true	true	true	true	true
Users	user-templates	1.6.1	true	true	true	true	true	true	true	true
Users	identity-tags	1.6.1	true	true	true	true	true	true	true	true

